Answer yes or no: is it normal to hear music in your head,"[[10747.0, 0.256533682346344], [10998.0, 0.743466317653656], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: is all of france in one time zone,"[[10747.0, 0.7367754578590393], [10998.0, 0.2632245123386383], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: is the oceanic crust part of the lithosphere,"[[10747.0, 0.5676687955856323], [10998.0, 0.4323312044143677], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: does finn die in the new star wars movie,"[[10747.0, 0.7942032217979431], [10998.0, 0.20579677820205688], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: is the apple watch series 3 compatible with iphone 6,"[[10747.0, 0.5498456358909607], [10998.0, 0.4501543939113617], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: is beirut the movie based on a true story,"[[10747.0, 0.8547163605690002], [10998.0, 0.14528359472751617], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: is there a movie about dolly parton's life,"[[10747.0, 0.49180036783218384], [10998.0, 0.5081996917724609], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: the abbasid dynasty comes to power after the umayyad army is defeated at the battle of the zab,"[[10747.0, 0.3122057318687439], [10998.0, 0.6877942681312561], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: are the raptors the only canadian nba team,"[[10747.0, 0.8896055817604065], [10998.0, 0.11039437353610992], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
"what sentiment the following sentence has: ""Gothic rock... I wonder if New Model Army ever thought about covering U2's hit """"Sunday Bloody Sunday""""!"" ","[[2841.0, 0.03844115138053894], [7163.0, 0.8109752535820007], [1465.0, 0.15058353543281555], [10998.0, 0.0], [10747.0, 0.0]]"
Answer yes or no: has cuba ever been to the world cup,"[[10747.0, 0.21772213280200958], [10998.0, 0.7822778820991516], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: does the subaru tribeca have a third row,"[[10747.0, 0.7949005961418152], [10998.0, 0.2050994485616684], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: are mont st michel and st michael's mount related,"[[10747.0, 0.3866479992866516], [10998.0, 0.6133520007133484], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
what sentiment the following sentence has: Storylines (other than Tom Brady's return) you should watch for in @user vs @user on Thursday night: ,"[[2841.0, 0.005233036819845438], [7163.0, 0.9168338775634766], [1465.0, 0.07793308794498444], [10998.0, 0.0], [10747.0, 0.0]]"
"what sentiment the following sentence has: @user ya neither can Chuck Norris but they can both kick ass like there's no tomorrow, plus she's hot!"" ","[[2841.0, 0.020497743040323257], [7163.0, 0.07713484019041061], [1465.0, 0.9023674130439758], [10998.0, 0.0], [10747.0, 0.0]]"
Answer yes or no: do i have to put my name on the return address,"[[10747.0, 0.686085045337677], [10998.0, 0.3139150142669678], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: is palma mallorca and palma majorca the same place,"[[10747.0, 0.7622126936912537], [10998.0, 0.23778733611106873], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: is there a sequel to i am 4,"[[10747.0, 0.6304708123207092], [10998.0, 0.3695291578769684], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: did they have planes in world war 1,"[[10747.0, 0.25429144501686096], [10998.0, 0.7457085251808167], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: cohesion tension theory of water transport in plants,"[[10747.0, 0.4682163894176483], [10998.0, 0.5317836403846741], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: does your next of kin have to be over 18,"[[10747.0, 0.5307177305221558], [10998.0, 0.4692822992801666], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: is it illegal to seek asylum in the us,"[[10747.0, 0.6797115802764893], [10998.0, 0.32028841972351074], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: are holby city and casualty set in the same hospital,"[[10747.0, 0.46987441182136536], [10998.0, 0.5301255583763123], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: in chess can a knight jump over two pieces,"[[10747.0, 0.37444230914115906], [10998.0, 0.6255576610565186], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: is all dlc included in skyrim special edition,"[[10747.0, 0.4989714026451111], [10998.0, 0.5010285973548889], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: is there an official release date for last airbender 2,"[[10747.0, 0.3453916311264038], [10998.0, 0.6546083092689514], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: res ipsa loquitur means the thing speaks for itself and is related to causation,"[[10747.0, 0.15709319710731506], [10998.0, 0.8429068326950073], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: is net earning the same as net income,"[[10747.0, 0.7853043079376221], [10998.0, 0.21469572186470032], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: was there a railroad in the underground railroad,"[[10747.0, 0.4562053680419922], [10998.0, 0.543794572353363], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: is guillain barre syndrome a lower motor neuron disease,"[[10747.0, 0.4411733150482178], [10998.0, 0.5588266849517822], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
Answer yes or no: can you keep a loaded gun in your car in ohio,"[[10747.0, 0.10999845713376999], [10998.0, 0.8900015354156494], [2841.0, 0.0], [7163.0, 0.0], [1465.0, 0.0]]"
